_unit_id,_created_at,_updated_at,gs,term,values,please_choose_one_of_the_reasons_below_gold,please_choose_one_of_the_reasons_below_gold_reason,which_category_does_this_term_belong_to_gold,which_category_does_this_term_belong_to_gold_reason
1229988682,5/3/2017 13:02:03,5/4/2017 11:31:32, tissue,tissue sample ,"hcv positive, hcv negative",,,,
1229988683,5/3/2017 13:02:03,5/4/2017 11:39:54, genotype,hd genotype  ,"hd, wild type",,,,
1229988684,5/3/2017 13:02:03,5/4/2017 11:35:04, tissue,tissue age ,"heads after mid-anthesis, five weeks after grafting seven day-old seedlings",,,,
1229988685,5/3/2017 13:02:03,5/4/2017 11:43:38, age,tissue age ,"heads after mid-anthesis, five weeks after grafting seven day-old seedlings",,,,
1229988686,5/3/2017 13:02:03,5/4/2017 11:32:45, disease,disease_status  ,"healthy control, bipolar disorder, healthy, down syndrome, sle",,,,
1229988687,5/3/2017 13:02:03,5/4/2017 11:41:12, disease,disease course  ,"healthy control, secondary progressive multiple sclerosis, n/a, 2 years at time of biopsy, 1 year at time of biopsy",,,,
1229988688,5/3/2017 13:02:03,5/4/2017 11:41:30, disease,disease_onset  ,"healthy, 2, 3, 4, 7",,,,
1229988689,5/3/2017 13:02:03,5/4/2017 11:38:26, disease,diseasestate  ,"healthy, adenocarcinoma, breast cancer, carcinoma, normal",,,,
1229988690,5/3/2017 13:02:03,5/4/2017 11:42:58, treatment,heat treatment  ,"heating at 95c for 30 min, heating at 95c for 60 min, heating at 95c for 0 min, heating at 95c for 10 min",,,,
1229988691,5/3/2017 13:02:03,5/4/2017 11:38:19, cell line,background cell line  ,"hek-293, ahr null hepatocytes (ahr-/- hepa), mda-mb-231, a673 ewing cell line, wild-type 293 cells",,,,
1229988692,5/3/2017 13:02:03,5/4/2017 11:38:19, cell line,cell line specificity  ,"hek293-t-rex inducible cell line expressing znf143-ha, hek293-t-rex inducible cell line expressing znf143",,,,
1229988693,5/3/2017 13:02:03,5/4/2017 11:29:16, cell line,cell line specifics  ,"hela s3 stably expressing h3.1-flag-ha, hela s3 stably expressing h3.3-flag-ha",,,,
1229988694,5/3/2017 13:02:03,5/4/2017 11:45:55, cell line,cell line  ,"hela, hepg2, mcf7, mcf-7, c2c12",,,,
1229988695,5/3/2017 13:02:03,5/4/2017 11:38:50, cell line,insect cell line  ,"helicoverpa zea cell line (hzam1) isolated from pupal ovarian tissue by mcintosh and ignoffo (1983), helicoverpa zea cell line (hzam1)",,,,
1229988696,5/3/2017 13:02:03,5/4/2017 11:43:09, strain,strain details  ,"hg.cast-(d11mit260-d11mit255), hg.cast-(d2mit329-d2mit457), hg.cast-(d17mit196-d17mit190)",,,,
1229988697,5/3/2017 13:02:03,5/4/2017 11:36:05, disease,advanced disease stage  ,"hgd, eac, lgd, im",,,,
1229988698,5/3/2017 13:02:03,5/4/2017 11:46:26, strain,hcmel3 strain  ,hgfxcdk4r24c_c57bl6,,,,
1229988699,5/3/2017 13:02:03,5/4/2017 11:29:35, treatment,treatment dosage  ,"high, low, 0.7 ppm, 60mg/kg/d, 100 nm",,,,
1229988700,5/3/2017 13:02:03,5/4/2017 11:29:34, genotype,infection (e. coli genotype)  ,"hlya1-, cnf1- hlya1-, cnf1-, pbs control, wt",,,,
1229988701,5/3/2017 13:02:03,5/4/2017 11:21:16, cell line,cell line id  ,"hmvecdlyad-der, 262, 334, 391, 395",,,,
1229988702,5/3/2017 13:02:03,5/4/2017 12:18:36, cell type,cell type origin  ,"hodgkin's lymphoma, cultured lncap cells, fibroblast, cervical cancer, myelogenous leukemia",,,,
1229988703,5/3/2017 13:02:03,5/4/2017 11:33:06, sex,sexual_orientation  ,"homosexual, heterosexual",,,,
1229988704,5/3/2017 13:02:03,5/4/2017 11:42:43, age,agenotype ,"homozygous knockout  (sirt1-/-), wild type  (sirt1+/+), heterozygous knockout  (sirt1+/-)",,,,
1229988705,5/3/2017 13:02:03,5/4/2017 11:36:05, time,time_hpi  ,"hour 00, hour 005, hour 045, hour 012, hour 060",,,,
1229988706,5/3/2017 13:02:03,5/4/2017 11:25:46, time,time [post-infection]  ,"hour 72, hour 8, hour 24, hour 0, hour 48",,,,
1229988707,5/3/2017 13:02:03,5/4/2017 11:38:00, strain,strain/genotyp  ,"hpl-2(tm1489), n2 (wt)",,,,
1229988708,5/3/2017 13:02:03,5/4/2017 11:36:01, strain,host mouse strain  ,"hsdathymic nude-foxn1nu (athymic nude mice), c57bl/6j",,,,
1229988709,5/3/2017 13:02:03,5/4/2017 12:10:12, cell line,fibrosarcoma cell line  ,ht1080,,,,
1229988710,5/3/2017 13:02:03,5/4/2017 11:32:57, treatment,treatments prior to dasatinib  ,"hu, ifn, im, hu, ifn, arac, im, hu, ifn, arac, asct, im",,,,
1229988711,5/3/2017 13:02:03,5/4/2017 11:32:01, treatment,tzd treatment  ,"hu, ifn, im, hu, ifn, arac, im, hu, ifn, arac, asct, im",,,,
1229988712,5/3/2017 13:02:03,5/4/2017 11:40:10, treatment,oxygen treatment  ,"hypoxia, normoxia (mock)",,,,
1229988713,5/3/2017 13:02:03,5/4/2017 11:21:16, treatment,patient treatment plan  ,"ic+surgery, crt, ic+crt, ic+rt",,,,
1229988714,5/3/2017 13:02:03,5/4/2017 11:29:43, tissue,tissue histology ,"idc-nst, grade 3, na",,,,
1229988715,5/3/2017 13:02:03,5/4/2017 11:30:14, tissue,tissue_grade ,"iii, iv, ii,v",,,,
1229988716,5/3/2017 13:02:03,5/4/2017 11:32:01, treatment,cytokine treatment  ,"il13, il13 + il4, media, il-33, il-25",,,,
1229988717,5/3/2017 13:02:03,5/4/2017 11:54:57, disease,disease location  ,"ileal and colonic involvement, ileal involvement only, colonic involvement only",,,,
1229988718,5/3/2017 13:02:03,5/4/2017 11:48:50, disease,disease phenotype  ,"illeal crohn's disease, ulcerative colitis, no inflammatory bowel disease, stage iv melanoma",,,,
1229988719,5/3/2017 13:02:03,5/4/2017 11:40:55, tissue,tissue and developmental stage ,immature seed coats dissected from seeds of 50-75 mg fresh weight,,,,
1229988720,5/3/2017 13:02:03,5/4/2017 11:27:16, cell type,background cell type  ,immortalized human bronchial epithelial cell,,,,
1229988721,5/3/2017 13:02:03,5/4/2017 11:35:50, cell line,cell line conditioning  ,"in vivo, in vitro",,,,
1229988722,5/3/2017 13:02:03,5/4/2017 11:30:23, treatment,nature of treatment  ,"in vivo, in vitro con, in vivo con (age-matched), in vitro",,,,
1229988723,5/3/2017 13:02:03,5/4/2017 11:29:42, disease,aggressiveness of disease  ,"indolent, aggressive",,,,
1229988724,5/3/2017 13:02:03,5/4/2017 11:31:26, cell line,cell line subpopulation  ,"invasive, reference",,,,
1229988725,5/3/2017 13:02:03,5/4/2017 11:37:45, genotype,host genotype/variation  ,"irradiated wild-type, irradiated tgfb1 heterozygote, sham-irradiated wild-type, sham-irradiated tgfb1 heterozygote",,,,
1229988726,5/3/2017 13:02:03,5/4/2017 11:23:10, tissue,tissue grade ,"iv, iii, ii, v",,,,
1229988727,5/3/2017 13:02:03,5/4/2017 11:42:58, treatment,treatment_category  ,"ivig responder_acute, ivig responder_after, ivig healthy controls, ivig non responder_acute, ivig non responder_after ivig",,,,
1229988728,5/3/2017 13:02:03,5/4/2017 11:45:29, strain,parent strain  ,"ja122, jir8094",,,,
1229988729,5/3/2017 13:02:03,5/4/2017 11:39:30, strain,strain info  ,"jax stock #000664, say995, say996, say841, ah13",,,,
1229988730,5/3/2017 13:02:03,5/4/2017 12:10:13, tissue,landrace tissue ,jejunum,,,,
1229988731,5/3/2017 13:02:03,5/4/2017 11:41:22, treatment,treatment drug  ,"jq1, dmso, --",,,,
1229988732,5/3/2017 13:02:03,5/4/2017 11:37:14, cell line,cell line name  ,"k-562 (atcc_ ccl-243__｢), a375p, tt-fhago2, mds-l, tt-ago2",,,,
1229988733,5/3/2017 13:02:03,5/4/2017 12:18:36, cell line,leukemia cell line  ,k562,,,,
1229988734,5/3/2017 13:02:03,5/4/2017 11:38:50, genotype,genotype/genetic variation  ,"k5rta, epcam negative, epcam positive, k5rta tetotgfbeta",,,,
1229988735,5/3/2017 13:02:03,5/4/2017 11:40:21, strain,strain by4741-rco1  ,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 rco1:kanmx),,,,
1229988736,5/3/2017 13:02:03,5/4/2017 11:38:14, strain,strain by4741-rpd3  ,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 rpd3:kanmx),,,,
1229988737,5/3/2017 13:02:03,5/4/2017 11:36:04, strain,strain by4741-ume6  ,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 ume6:kanmx),,,,
1229988738,5/3/2017 13:02:03,5/4/2017 11:19:22, strain,strain by4741-pho23  ,kanmx (mata his3_1 leu2_0 met15_0 ura3_0 pho3:kanmx),,,,
1229988739,5/3/2017 13:02:03,5/4/2017 11:36:08, strain,strain by4741-msn2  ,"kanmx/msn4:ura3/rpd3:leu2 (mata his3__1 leu2__0 met15__0 ura3__0 msn2:kanmx msn4:ura3 rpd3:leu2), kanmx/msn4:ura3 (mata his3__1 leu2__0 met15__0 ura3__0 msn2:kanmx msn4:ura3)",,,,
1229988740,5/3/2017 13:02:03,5/4/2017 11:27:09, tissue,tissue/cell ,"kidney, testis, cerebellum, heart, brain",,,,
1229988741,5/3/2017 13:02:03,5/4/2017 11:36:27, strain,strain jam1  ,knockout of s,,,,
1229988742,5/3/2017 13:02:03,5/4/2017 11:43:52, strain,strain tw14  ,knockout of the brpa gene via insertion of a erythromycin cassette,,,,
1229988743,5/3/2017 13:02:03,5/4/2017 11:39:18, strain,strain tw1  ,knockout of the ccpa homolog via insertion of a kanamycin cassette,,,,
1229988744,5/3/2017 13:02:03,5/4/2017 11:44:19, strain,bacterial strain used  ,"l. plantarum 299v msa mutant, l. plantarum 299v wildtype, I. plantarum 299v srt mutant",,,,
1229988745,5/3/2017 13:02:03,5/4/2017 11:36:11, strain,equivalent strain name  ,"l2r (25667r), l2(434) bu, l2rp+",,,,
1229988746,5/3/2017 13:02:03,5/4/2017 11:42:58, disease,disease phase  ,"late period, early period, control",,,,
1229988747,5/3/2017 13:02:03,5/4/2017 11:38:43, cell line,cell line derivation  ,"late stage embryos, 39-year-old parous japanese female diagnosed with endometrial adenocarcinoma stage 2., bone marrow",,,,
1229988748,5/3/2017 13:02:03,5/4/2017 11:34:10, time,time of relapse  ,"late, very early, early",,,,
1229988749,5/3/2017 13:02:03,5/4/2017 11:38:45, tissue,tissue harvested ,"leaf, root, tramp-c2re3 prostate orthotopic tumors, ts/a tumors 21 days after tumor challenge",,,,
1229988750,5/3/2017 13:02:03,5/4/2017 11:38:43, tissue,a.thaliana tissue ,leaves,,,,
1229988751,5/3/2017 13:02:03,5/4/2017 11:22:16, disease,disease extension  ,"left-sided colitis, --, pancolitis",,,,
1229988752,5/3/2017 13:02:03,5/4/2017 11:37:58, treatment,maternal treatment group  ,"leptin, control, restricted",,,,
1229988753,5/3/2017 13:02:03,5/4/2017 11:43:05, strain,strain[background]  ,line-m,,,,
1229988754,5/3/2017 13:02:03,5/4/2017 11:37:55, cell line,cell line/clone  ,"line, clone fips5-7, clone fips2-10, clone fips1-14, clone fips6-3",,,,
1229988755,5/3/2017 13:02:03,5/4/2017 11:39:50, treatment,treatment (short label)  ,"lis.dil, er.char 40%, lis 40%, mdl.diel, mdl.phen",,,,
1229988756,5/3/2017 13:02:03,5/4/2017 11:25:46, tissue,cell tissue ,liver,,,,
1229988757,5/3/2017 13:02:03,5/4/2017 11:34:27, tissue,tissue ,"liver, blood, whole blood, peripheral blood, lung",,,,
1229988758,5/3/2017 13:02:03,5/4/2017 11:37:02, tissue,tissue derived ,"liver, skin, peripheral blood",,,,
1229988759,5/3/2017 13:02:03,5/4/2017 11:42:58, disease,patient disease status  ,"localized neuroblastoma, with a diagnosis of cyanotic tetralogy of fallot congenital heart disease, metastatic neuroblastoma, healthy young donor, normal",,,,
1229988760,5/3/2017 13:02:03,5/4/2017 11:25:46, disease,extent of disease  ,"localized, unknown, metastatic",,,,
1229988761,5/3/2017 13:02:03,5/4/2017 11:28:31, time,time reference  ,"longitudinal, enrollment",,,,
1229988762,5/3/2017 13:02:03,5/4/2017 11:24:53, cell line,cell line traits  ,"loss of p53, loss of hormone receptors er and pr",,,,
1229988763,5/3/2017 13:02:03,5/4/2017 11:33:47, treatment,pbmc treatment  ,"lps, conditioned, untreated, conditioned",,,,
1229988764,5/3/2017 13:02:03,5/4/2017 11:33:48, treatment,treatment condition  ,"lps, control, oxpapc, na, constant dark conditions",,,,
1229988765,5/3/2017 13:02:03,5/4/2017 11:39:20, tissue,tissue enriched for ,"ls1-np-ncr, ls1-np-t, ls1-np-cr",,,,
1229988766,5/3/2017 13:02:03,5/4/2017 11:35:53, disease,lung disease  ,"lung cancer (before surgical resection of lung cancer), none (no current or past lung cancer or non-cancerous nodule), non-cancerous lung nodule, none (after surgical resection of lung cancer)",,,,
1229988767,5/3/2017 13:02:03,5/4/2017 11:28:32, tissue,# of tissue = 1 tissue ,"lung, liver",,,,
1229988768,5/3/2017 13:02:03,5/4/2017 11:41:29, strain,background strain(s)  ,lxt1xbalb/c,,,,
1229988769,5/3/2017 13:02:03,5/4/2017 11:42:36, tissue,tissue_surgery ,"lymph_node, liver",,,,
1229988770,5/3/2017 13:02:03,5/4/2017 11:38:01, gender,gender (1#pfu_2) ,m,,,,
1229988771,5/3/2017 13:02:03,5/4/2017 11:36:27, gender,gender (1#pfu_1) ,m,,,,
1229988772,5/3/2017 13:02:03,5/4/2017 11:30:07, sex,recipient sex  ,"m, f",,,,
1229988773,5/3/2017 13:02:03,5/4/2017 11:34:11, sex,sex/mating type  ,"m, f",,,,
1229988774,5/3/2017 13:02:03,5/4/2017 11:37:06, gender,gender (male/female) ,"m, f, 1/1/2017",,,,
1229988775,5/3/2017 13:02:03,5/4/2017 11:32:52, sex,donor sex  ,"m, f, male, female, unknown",,,,
1229988776,5/3/2017 13:02:03,5/4/2017 11:35:51, treatment,secondary treatment  ,"macrophage conditioned medium, thesc conditioned medium serum starved, serum starvation",,,,
1229988777,5/3/2017 13:02:03,5/4/2017 11:53:43, cell type,cell type (sorted)  ,"macrophages, ntreg, itreg, ex-itreg",,,,
1229988778,5/3/2017 13:02:03,5/4/2017 11:41:22, gender,gender (mouse) ,male,,,,
1229988779,5/3/2017 13:02:03,5/4/2017 11:28:37, gender,gender of the clone ,male,,,,
1229988780,5/3/2017 13:02:03,5/4/2017 11:34:58, gender,gender (pup) ,male,,,,
1229988781,5/3/2017 13:02:03,5/4/2017 11:27:09, gender,xenograft recipient gender ,male,,,,
1229988782,5/3/2017 13:02:03,5/4/2017 11:39:37, gender,mouse model gender ,male,,,,
1229988783,5/3/2017 13:02:03,5/4/2017 11:24:34, age,agender ,male,,,,
1229988784,5/3/2017 13:02:03,5/4/2017 11:29:44, sex,sex of recipient mice  ,male,,,,
1229988785,5/3/2017 13:02:03,5/4/2017 11:39:29, sex,proband sex  ,male,,,,
1229988786,5/3/2017 13:02:03,5/4/2017 11:36:42, strain,strain c57bl/6  gender  ,male  age10 weeks  tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice.,,,,
1229988787,5/3/2017 13:02:03,5/4/2017 11:58:00, gender,strain c57bl/6 gender ,male  age10 weeks  tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice.,,,,
1229988788,5/3/2017 13:02:03,5/4/2017 11:46:57, strain,strain c57bl/6 gender  ,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice,,,,
1229988789,5/3/2017 13:02:03,5/4/2017 11:38:45, gender,ma4 gender ,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice,,,,
1229988790,5/3/2017 13:02:03,5/4/2017 11:29:44, gender,gender of human sera ,"male, female",,,,
1229988791,5/3/2017 13:02:03,5/4/2017 11:41:02, gender,gender of baby ,"male, female",,,,
1229988792,5/3/2017 13:02:03,5/4/2017 11:40:52, gender,host gender ,"male, female",,,,
1229988793,5/3/2017 13:02:03,5/4/2017 11:32:44, gender,donor gender ,"male, female",,,,
1229988794,5/3/2017 13:02:03,5/4/2017 11:43:38, gender,cell line source gender ,"male, female",,,,
1229988795,5/3/2017 13:02:03,5/4/2017 11:33:29, gender,fetus gender ,"male, female",,,,
1229988796,5/3/2017 13:02:03,5/4/2017 11:32:19, gender,donor's  gender ,"male, female",,,,
1229988797,5/3/2017 13:02:03,5/4/2017 11:44:47, cell line,cell line source gender  ,"male, female",,,,
1229988798,5/3/2017 13:02:03,5/4/2017 11:44:19, sex,genotyped sex  ,"male, female",,,,
1229988799,5/3/2017 13:02:03,5/4/2017 11:39:58, sex,mouse sex  ,"male, female",,,,
1229988800,5/3/2017 13:02:03,5/4/2017 11:44:19, sex,sex (gender)  ,"male, female",,,,
1229988801,5/3/2017 13:02:03,5/4/2017 11:36:58, sex,sex of patient  ,"male, female",,,,
1229988802,5/3/2017 13:02:03,5/4/2017 12:46:58, genotype,genotyped sex  ,"male, female",,,,
1229988803,5/3/2017 13:02:03,5/4/2017 11:38:08, gender,gender ,"male, female, m, f",,,,
1229988804,5/3/2017 13:02:03,5/4/2017 11:44:47, gender,subject gender ,"male, female, m, f",,,,
1229988805,5/3/2017 13:02:03,5/4/2017 11:25:46, sex,sex  ,"male, female, m, f, unknown",,,,
1229988806,5/3/2017 13:02:03,5/4/2017 11:36:42, sex,patient sex  ,"male, female, m, n/a, f",,,,
1229988807,5/3/2017 13:02:03,5/4/2017 11:24:10, gender,patient gender ,"male, female, n1, 1, 2",,,,
1229988808,5/3/2017 13:02:03,5/4/2017 11:34:10, gender,recipient gender ,"male, none, female",,,,
1229988809,5/3/2017 13:02:03,5/4/2017 11:33:48, tissue,tissue origination ,"mammary gland, breast",,,,
1229988810,5/3/2017 13:02:03,5/4/2017 11:40:21, genotype,relevant genotype  ,"mata, sth1td ubr1(delta), h- ura4-d18 leu1-32 ade6-704, rsc3-9myc, rpb1-1",,,,
1229988811,5/3/2017 13:02:03,5/4/2017 11:39:44, strain,strain sr954  ,mata/alpha  ira1:his3/ira1:leu2  ura3___52/ura3___52  leu2:hisg/leu2:hisg  his3:hisg/his3:hisg  prs316___ira1ra,,,,
1229988812,5/3/2017 13:02:03,5/4/2017 11:41:02, strain,strain sr595  ,mata/alpha  ira1:his3/ira1:leu2  ura3-52/ura3-52  leu2:hisg/leu2:hisg  his3:hisg/his3:hisg  prs316,,,,
1229988813,5/3/2017 13:02:03,5/4/2017 11:41:38, strain,strain sr563  ,mata/alpha  ira2:his3/ira2:leu2  ura3-52/ura3-52  leu2:hisg/leu2:hisg  his3:hisg/his3:hisg  prs316,,,,
1229988814,5/3/2017 13:02:03,5/4/2017 11:36:08, strain,strain sr957  ,mata/alpha  ras1:his3/ras1:his3  ras2delta/ras2delta  pde2:kanr/ pde2:kanr  ura3-52/ura3-52 leu2:hisg/leu2:hisg  his3:hisg/his3:hisg  trp1+/trp1:hisg,,,,
1229988815,5/3/2017 13:02:03,5/4/2017 11:23:10, strain,strain sr959  ,mata/alpha  ras1:his3/ras1:his3  ras2delta/ras2delta  pde2:kanr/ pde2:kanr  ura3-52/ura3-52 leu2:hisg/leu2:hisg  his3:hisg/his3:hisg  trp1+/trp1:hisg  prs315,,,,
1229988816,5/3/2017 13:02:03,5/4/2017 11:36:59, strain,strain sr453  ,"mata/alpha  ura3-52/ura3-52  prs316-ras2v19, mata/alpha  ura3___52/ura3___52  prs316___ras2v19",,,,
1229988817,5/3/2017 13:02:03,5/4/2017 11:35:04, strain,strain sr1187  ,mata/alpha ura3-52/ura3-52 prs316,,,,
1229988818,5/3/2017 13:02:03,5/4/2017 11:37:56, strain,strain sr753  ,mata/alpha ura3-52/ura3-52 prs316___ras2a22,,,,
1229988819,5/3/2017 13:02:03,5/4/2017 11:41:39, genotype,pool genotype  ,mata/alpha ura3delta0 leu2delta his3delta1 lys2delta0/lys2 met15delta0/met15 can1delta:leu2-mfa1pr-his3/can1 xxx:kanmx/xxx,,,,
1229988820,5/3/2017 13:02:03,5/4/2017 11:40:29, sex,sexual maturity  ,mature,,,,
1229988821,5/3/2017 13:02:03,5/4/2017 11:40:57, strain,strain/genotype variation  ,"mc58, grb2405cml128 hcm1-3ha:natmx4 (hcm1ha), cml128mata ura3-52 his4 leu2-3,112 trp1 (wt), mjrc07grb2405 teto7-hcm1-3ha:kanmx4 (tethcm1ha)",,,,
1229988822,5/3/2017 13:02:03,5/4/2017 11:35:50, tissue,tissue-of-origin ,"melanoma, colon, renal, non-small cell lung, ovarian",,,,
1229988823,5/3/2017 13:02:03,5/4/2017 11:37:42, cell line,cell lineage  ,"mesoderm, ectoderm, endoderm, inner cell mass, international hapmap project - ceph/utah - european caucasion",,,,
1229988824,5/3/2017 13:02:03,5/4/2017 11:39:23, treatment,peptide treatment  ,"metastin-10, control peptide",,,,
1229988825,5/3/2017 13:02:03,5/4/2017 11:40:44, tissue,tissues ,"microdissected dental tissues from lower incisors, spleen and head kidney, spleen, normal spleen, cultured callus",,,,
1229988826,5/3/2017 13:02:03,5/4/2017 11:38:34, tissue,tissue stage ,"mid-late/late luteal phase, fresh frozen tissue, basal state, ffpe, ovarian cancer tissue after treatment",,,,
1229988827,5/3/2017 13:02:03,5/4/2017 11:41:22, time,sampling time group  ,"mid, early",,,,
1229988828,5/3/2017 13:02:03,5/4/2017 11:35:18, tissue,tissue part ,middle region,,,,
1229988829,5/3/2017 13:02:03,5/4/2017 11:32:43, genotype,genotype(breed)  ,"mix, greyhound, rottweiler, golden ret.",,,,
1229988830,5/3/2017 13:02:03,5/4/2017 11:29:16, strain,strain name  ,"mixed, common referencemixture of by4716 and, rm11-1a rna from glucose and ethanol conditions, 1254, (wild_type), wt, wt (a11311)",,,,
1229988831,5/3/2017 13:02:03,5/4/2017 11:27:01, cell type,tumor cell type  ,"mixed, epithelioid, na, the rat-derived c6 glioma cell line was obtained from the american type culture collection (manassas, va). the cells were routinely maintained in dmem supplemented with l-glutamine, 1% penicillin/streptomycin solution, and 10% fbs in a humidified co2 incubator at 37 __c., neuroblastoma",,,,
1229988832,5/3/2017 13:02:03,5/4/2017 11:32:46, disease,disease_severity  ,"moderate, healthy, severe, mild, unclassified",,,,
1229988833,5/3/2017 13:02:03,5/4/2017 11:33:01, cell line,originating cell line  ,"molt-4, pc-3/m, rxf 393, uacc-62, a549",,,,
1229988835,5/3/2017 13:02:04,5/4/2017 12:03:29, cell type,host cell type  ,"monocyte derived dendritic cells (mddcs), enucleated mii oocytes, t lymphocyte",,,,
1229988836,5/3/2017 13:02:04,5/4/2017 11:32:52, cell line,cell line(s)  ,"mouse es cells and human fibroblast, human fibroblast",,,,
1229988837,5/3/2017 13:02:04,5/4/2017 11:31:32, treatment,antibody treatment  ,"mouse igg, 228b/c, 228b/c + 11h4, none, 11h4",,,,
1229988838,5/3/2017 13:02:04,5/4/2017 11:40:44, cell type,source cell type  ,"mouse mammary epithelial cells, human embryonic stem cells (hescs), circulating tumor cells, csf, mouse embryonic fibroblast (mef)",,,,
1229988839,5/3/2017 13:02:04,5/4/2017 11:36:34, disease,disease category  ,"mpn_pmf, blast phase_pmf, mpn_et, mpn_pv, blast phase_et",,,,
1229988840,5/3/2017 13:02:04,5/4/2017 11:41:22, treatment,vaccine or treatment  ,"mrkad5/hiv, mrkad5 at 20000 virus particles/cell, mock",,,,
1229988841,5/3/2017 13:02:04,5/4/2017 11:36:52, genotype,maternal genotype  ,"msh22, flagstaff 14, ms, lw, rpa-70-egfp/+",,,,
1229988842,5/3/2017 13:02:04,5/4/2017 11:33:49, treatment,rnai treatment  ,"msl2 rnai, control gfp rnai, xrn-1, mes-4, tspan-17 shrna",,,,
1229988843,5/3/2017 13:02:04,5/4/2017 11:30:08, tissue,tissue morphology ,"mucosa, colonic crypt epithelial cells",,,,
1229988844,5/3/2017 13:02:04,5/4/2017 11:34:58, strain,strain_description  ,"mutant strain unable to discharge trichocysts. less background in deciliation experiments, stock 37c09, wild type, wild type mating type vii, wild type mating type viii",,,,
1229988845,5/3/2017 13:02:04,5/4/2017 11:38:14, treatment,transcription factor treatment  ,"myocd, nkx2.5, hand2, gata4, no tf",,,,
1229988846,5/3/2017 13:02:04,5/4/2017 11:26:12, tissue,tissue/cell line [c] ,"myometrium, mda-mb231 cells, prostate gland, endometrium, endometrium/ovary",,,,
1229988847,5/3/2017 13:02:04,5/4/2017 11:33:02, time,sampling date and time  ,n/a,,,,
1229988848,5/3/2017 13:02:04,5/4/2017 11:25:12, time,time interval fromc (months)  ,n/a,,,,
1229988849,5/3/2017 13:02:04,5/4/2017 11:36:10, disease,residual disease  ,"n/a, < 1 cm, no",,,,
1229988850,5/3/2017 13:02:04,5/4/2017 11:41:25, age,age of onset (years) ,"n/a, 25, 22, 14, 17",,,,
1229988851,5/3/2017 13:02:04,5/4/2017 11:29:36, age,age at first birth ,"n/a, 26, 25, 28, 23",,,,
1229988852,5/3/2017 13:02:04,5/4/2017 11:32:19, age,maternal age ,"n/a, 27 ,29, 24, 30",,,,
1229988853,5/3/2017 13:02:04,5/4/2017 11:40:32, age,treatment start age ,"n/a, 44 days",,,,
1229988854,5/3/2017 13:02:04,5/4/2017 11:19:22, treatment,treatment start age  ,"n/a, 44 days",,,,
1229988855,5/3/2017 13:02:04,5/4/2017 12:10:12, age,age at dx (years) ,"n/a, 5, 6.6, 6.4, 3.9",,,,
1229988856,5/3/2017 13:02:04,5/4/2017 11:36:59, age,mean age years (range) ,"n/a, 62.75 (56-68)",,,,
1229988857,5/3/2017 13:02:04,5/4/2017 11:35:51, age,age-at-onset ,"n/a, 65, 45, 48",,,,
1229988858,5/3/2017 13:02:04,5/4/2017 11:32:42, treatment,c systemic treatment  ,"n/a, chemotherapy - tamoxifen, chemotherapy, tamoxifen, no",,,,
1229988859,5/3/2017 13:02:04,5/4/2017 11:44:20, genotype,hcv genotype  ,"n/a, genotype 1b, 1",,,,
1229988860,5/3/2017 13:02:04,5/4/2017 11:40:32, treatment,c local treatment  ,"n/a, mastectomy, breast conserving surgery",,,,
1229988861,5/3/2017 13:02:04,5/4/2017 11:34:24, treatment,lithium treatment  ,"n/a, no, yes",,,,
1229988862,5/3/2017 13:02:04,5/4/2017 11:25:52, treatment,valproate treatment  ,"n/a, no, yes",,,,
1229988863,5/3/2017 13:02:04,5/4/2017 11:37:06, cell line,growth pattern of cell line  ,"n/a, sclc-classic, sclc-variant",,,,
1229988864,5/3/2017 13:02:04,5/4/2017 11:38:19, disease,disease severity  ,"n/a, severe, mild, not applicable, 7 (p)",,,,
1229988865,5/3/2017 13:02:04,5/4/2017 11:45:54, time,time measured post wounding  ,"n/a, two hours, 30 min",,,,
1229988866,5/3/2017 13:02:04,5/4/2017 11:39:21, strain,strain (cy3)  ,n2,,,,
1229988867,5/3/2017 13:02:04,5/4/2017 11:41:02, strain,strain (cy5)  ,"n2, ss186",,,,
1229988868,5/3/2017 13:02:04,5/4/2017 11:39:38, genotype,rb genotype/variation  ,"n750f,wt,loh, ko",,,,
1229988869,5/3/2017 13:02:04,5/4/2017 11:27:33, time,survival time (years)  ,na,,,,
1229988870,5/3/2017 13:02:04,5/4/2017 11:45:29, time,survival time in months  ,na,,,,
1229988871,5/3/2017 13:02:04,5/4/2017 11:38:46, treatment,treatment response  ,"na ,responder, nonresponder, fl_responder, partial response",,,,
1229988872,5/3/2017 13:02:04,5/4/2017 11:37:35, treatment,treatment response in vitro  ,"na, 0, 1",,,,
1229988873,5/3/2017 13:02:04,5/4/2017 11:36:54, time,time to treatment (days)  ,"na, 0, 31, 230, 1624",,,,
1229988874,5/3/2017 13:02:04,5/4/2017 11:31:08, time,timetofirstszmin  ,"na, 0, 330, 57, 115",,,,
